Studio Name,Formatted address,Latitude,Longitude,Street number,Street,Postal code,City,Country,State,County
Oro Valley,"7972 N Oracle Rd, Oro Valley, AZ 85704, USA",32.3498325,-110.9733351,7972,North Oracle Road,85704,Oro Valley,United States,Arizona,Pima County
Tucson Foothills,"6872 E Sunrise Dr Ste. 150, Tucson, AZ 85750, USA",32.3076381,-110.8457816,6872,East Sunrise Drive,85750,Tucson,United States,Arizona,Pima County
Clayton,"5442 Ygnacio Valley Rd 29 c, Concord, CA 94521, USA",37.9507791,-121.9580205,5442,Ygnacio Valley Road,94521,Concord,United States,California,Contra Costa County
Danville,"3418 Camino Tassajara, Danville, CA 94506, USA",37.7978434,-121.9214048,3418,Camino Tassajara,94506,Danville,United States,California,Contra Costa County
East Dublin,"4480 Tassajara Rd a, Dublin, CA 94568, USA",37.7077094,-121.8738467,4480,Tassajara Road,94568,Dublin,United States,California,Alameda County
Pleasanton,"6766 Bernal Ave #530, Pleasanton, CA 94566, USA",37.6575493,-121.8973586,6766,Bernal Avenue,94566,Pleasanton,United States,California,Alameda County
San Leandro,"1353 Washington Ave Suite D2, San Leandro, CA 94577, USA",37.7238956,-122.1564684,1353,Washington Avenue,94577,San Leandro,United States,California,Alameda County
San Ramon,"3191 Crow Canyon Pl Suite F, San Ramon, CA 94583, USA",37.7766223,-121.9704839,3191,Crow Canyon Place,94583,San Ramon,United States,California,Contra Costa County
Walnut Creek,"1576 Botelho Dr, Walnut Creek, CA 94596, USA",37.8948645,-122.0615724,1576,Botelho Drive,94596,Walnut Creek,United States,California,Contra Costa County
Fremont,"44047 Osgood Rd #220, Fremont, CA 94539, USA",37.5106827,-121.94055,44047,Osgood Road,94539,Fremont,United States,California,Alameda County
Los Gatos,"14010 Blossom Hill Rd, Los Gatos, CA 95032, USA",37.2352697,-121.91367,14010,Blossom Hill Road,95032,Los Gatos,United States,California,Santa Clara County
North San Jose,"1708 Oakland Rd #200, San Jose, CA 95131, USA",37.3835866,-121.893867,1708,Oakland Road,95131,San Jose,United States,California,Santa Clara County
Santa Clara,"3347 Coronado Pl, Santa Clara, CA 95054, USA",37.3819803,-121.9744523,3347,Coronado Place,95054,Santa Clara,United States,California,Santa Clara County
Union City,"32175 Union Landing Blvd, Union City, CA 94587, USA",37.5996939,-122.0683263,32175,Union Landing Boulevard,94587,Union City,United States,California,Alameda County
Daly City,"3 Serramonte Center #127f, Daly City, CA 94015, USA",37.6716778,-122.4707839,3,Serramonte Center,94015,Daly City,United States,California,San Mateo County
Palo Alto,"490 California Ave #120, Palo Alto, CA 94306, USA",37.4254691,-122.1459088,490,California Avenue,94306,Palo Alto,United States,California,Santa Clara County
San Bruno,"851 Cherry Ave Suite 13, San Bruno, CA 94066, USA",37.6266292,-122.4262372,851,Cherry Avenue,94066,San Bruno,United States,California,San Mateo County
San Mateo,"15 N B St Suite F, San Mateo, CA 94401, USA",37.5680589,-122.3251602,15,North B Street,94401,San Mateo,United States,California,San Mateo County
Sunnyvale,"562 E El Camino Real, Sunnyvale, CA 94087, USA",37.3625678,-122.0272202,562,East El Camino Real,94087,Sunnyvale,United States,California,Santa Clara County
Arroyo Grande,"925 Rancho Pkwy, Arroyo Grande, CA 93420, USA",35.1258009,-120.5934919,925,Rancho Parkway,93420,Arroyo Grande,United States,California,San Luis Obispo County
Paso Robles,"2051 Theatre Dr, Paso Robles, CA 93446, USA",35.5860292,-120.6968213,2051,Theatre Drive,93446,Paso Robles,United States,California,San Luis Obispo County
San Luis Obispo,"209 Madonna Rd, San Luis Obispo, CA 93405, USA",35.2632103,-120.6752623,209,Madonna Road,93405,San Luis Obispo,United States,California,San Luis Obispo County
Echo Park,"W Sunset Blvd, Los Angeles, CA 90026, USA",34.0791123,-118.2687075,,West Sunset Boulevard,90026,Los Angeles,United States,California,Los Angeles County
Glassell Park,"2614 Arthur St, Glassell Park, CA 90065, USA",34.1123904,-118.2352279,2614,Arthur Street,90065,Los Angeles,United States,California,Los Angeles County
N La Cienega,"1106 N La Cienega Blvd Suite 106, West Hollywood, CA 90069, USA",34.0909942,-118.3759972,1106,North La Cienega Boulevard,90069,West Hollywood,United States,California,Los Angeles County
San Pedro,"938 N Western Ave unit 260, San Pedro, CA 90732, USA",33.7509144,-118.3071234,938,North Western Avenue,90732,Los Angeles,United States,California,Los Angeles County
Torrance,"2539 Pacific Coast Hwy d, Torrance, CA 90505, USA",33.790365,-118.3297432,2539,Pacific Coast Highway,90505,Torrance,United States,California,Los Angeles County
West Hollywood,"7318 Santa Monica Blvd #20, West Hollywood, CA 90046, USA",34.0905674,-118.3492146,7318,Santa Monica Boulevard,90046,West Hollywood,United States,California,Los Angeles County
West Torrance,"4940 W 190th St, Torrance, CA 90503, USA",33.8577456,-118.3636642,4940,West 190th Street,90503,Torrance,United States,California,Los Angeles County
Bixby Knolls,"4010 Atlantic Ave, Long Beach, CA 90807, USA",33.8311032,-118.184755,4010,Atlantic Avenue,90807,Long Beach,United States,California,Los Angeles County
East Long Beach,"5939 E Spring St, Long Beach, CA 90808, USA",33.8115413,-118.1157357,5939,East Spring Street,90808,Long Beach,United States,California,Los Angeles County
Huntington Beach,"7012 Edinger Ave Unit 103, Huntington Beach, CA 92647, USA",33.7296373,-118.0062621,7012,Edinger Avenue,92647,Huntington Beach,United States,California,Orange County
Lakewood Heartwell,"4146 Woodruff Ave, Lakewood, CA 90713, USA",33.8336163,-118.1158701,4146,Woodruff Avenue,90713,Lakewood,United States,California,Los Angeles County
Long Beach Marina,"6236 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.7663521,-118.1173511,6236,East Pacific Coast Highway,90803,Long Beach,United States,California,Los Angeles County
Newland Center,"19730 Beach Blvd, Huntington Beach, CA 92648, USA",33.675884,-117.9871789,19730,Beach Boulevard,92648,Huntington Beach,United States,California,Orange County
Seal Beach,"12830 Seal Beach Blvd Ste A, Seal Beach, CA 90740, USA",33.7765512,-118.0722015,12830,Seal Beach Boulevard,90740,Seal Beach,United States,California,Orange County
South Huntington Beach,"8945 Atlanta Ave, Huntington Beach, CA 94646, USA",33.6587859,-117.9719588,8945,Atlanta Avenue,94646,Huntington Beach,United States,California,Orange County
Alton Square,"5405 Alton Pkwy Suite B, Irvine, CA 92604, USA",33.6709164,-117.7881889,5405,Alton Parkway,92604,Irvine,United States,California,Orange County
Anaheim Hills,"701 S Weir Canyon Rd #117, Anaheim, CA 92808, USA",33.8622934,-117.7393842,701,South Weir Canyon Road,92808,Anaheim,United States,California,Orange County
Fountain Valley,"18589 Brookhurst St space 470, Fountain Valley, CA 92708, USA",33.692508,-117.9559512,18589,Brookhurst Street,92708,Fountain Valley,United States,California,Orange County
Newport Beach,"1040 Bayside Dr, Newport Beach, CA 92660, USA",33.611292,-117.8917589,1040,Bayside Drive,92660,Newport Beach,United States,California,Orange County
Newport Coast,"21113 Newport Coast Dr, Newport Beach, CA 92657, USA",33.6076554,-117.8266666,21113,Newport Coast Drive,92657,Newport Beach,United States,California,Orange County
Yorba Linda,"18425 Yorba Linda Blvd, Yorba Linda, CA 92886, USA",33.8898746,-117.8122923,18425,Yorba Linda Boulevard,92886,Yorba Linda,United States,California,Orange County
Aliso Viejo,"27270 Alicia Pkwy Suite 4E, Laguna Niguel, CA 92677, USA",33.5666943,-117.7129653,27270,Alicia Parkway,92677,Laguna Niguel,United States,California,Orange County
Dana Point,"33611 Del Obispo St Suite C, Dana Point, CA 92629, USA",33.4746177,-117.686235,33611,Del Obispo Street,92629,Dana Point,United States,California,Orange County
Laguna Niguel,"30100 Town Center Dr Suite B-1, Laguna Niguel, CA 92677, USA",33.5260773,-117.7130073,30100,Town Center Drive,92677,Laguna Niguel,United States,California,Orange County
Los Olivos,"8503 Irvine Center Dr, Irvine, CA 92618, USA",33.6457322,-117.7454313,8503,Irvine Center Drive,92618,Irvine,United States,California,Orange County
Mission Viejo,"25800 Jeronimo Rd #404, Mission Viejo, CA 92691, USA",33.6164222,-117.6796013,25800,Jeronimo Road,92691,Mission Viejo,United States,California,Orange County
4S Ranch,"16615 Dove Canyon Rd #115, San Diego, CA 92127, USA",33.0149683,-117.1100607,16615,Dove Canyon Road,92127,San Diego,United States,California,San Diego County
Bankers Hill,"2760 Fifth Ave #110, San Diego, CA 91902, USA",32.7342419,-117.1604943,2760,Fifth Avenue,91902,San Diego,United States,California,San Diego County
Escondido,"1835 S Centre City Pkwy Suite J, Escondido, CA 92025, USA",33.101632,-117.0755806,1835,South Centre City Parkway,92025,Escondido,United States,California,San Diego County
Granite Hills,"747 Jamacha Rd, El Cajon, CA 92019, USA",32.7866334,-116.9271606,747,Jamacha Road,92019,El Cajon,United States,California,San Diego County
Oside,"125 Old Grove Rd Suite 13, Oceanside, CA 92057, USA",33.2300841,-117.3085032,125,Old Grove Road,92057,Oceanside,United States,California,San Diego County
Poway,"13265 Midland Rd Ste 130, Poway, CA 92064, USA",32.9571338,-117.0364222,13265,Midland Road,92064,Poway,United States,California,San Diego County
Rancho Bernardo,"12145 Alta Carmel Ct #220, San Diego, CA 92128, USA",32.9927654,-117.0699148,12145,Alta Carmel Court,92128,San Diego,United States,California,San Diego County
Briargate,"Colorado Springs, CO 80920, USA",38.9583005,-104.7812654,,,80920,Colorado Springs,United States,Colorado,El Paso County
Dublin,"5935 Dublin Blvd #150, Colorado Springs, CO 80923, USA",38.9234187,-104.7185293,5935,Dublin Boulevard,80923,Colorado Springs,United States,Colorado,El Paso County
Ivywild,"120 E Cheyenne Rd #150, Colorado Springs, CO 80906, USA",38.8068596,-104.8241336,120,East Cheyenne Road,80906,Colorado Springs,United States,Colorado,El Paso County
Castle Rock,"6360 Promenade Pkwy Unit 120, Castle Rock, CO 80108, USA",39.4220159,-104.8780257,6360,Promenade Parkway,80108,Castle Rock,United States,Colorado,Douglas County
Cherry Creek,"3033 E 1st Ave #102, Denver, CO 80206, USA",39.7187673,-104.9514798,3033,East 1st Avenue,80206,Denver,United States,Colorado,Denver County
Cherry Hills,"3576 S Logan St Unit B, Englewood, CO 80113, USA",39.6517091,-104.9827604,3576,South Logan Street,80113,Englewood,United States,Colorado,Arapahoe County
Old Town,"244 N College Ave Suite 125, Fort Collins, CO 80524, USA",40.5899851,-105.0767023,244,North College Avenue,80524,Fort Collins,United States,Colorado,Larimer County
Sloans Lake,"1931 Sheridan Blvd Unit V, Edgewater, CO 80214, USA",39.7473352,-105.0552102,1931,Sheridan Boulevard,80214,Edgewater,United States,Colorado,Jefferson County
Wheat Ridge,"3294 Youngfield St B, Wheat Ridge, CO 80033, USA",39.7630795,-105.1400807,3294,Youngfield Street,80033,Wheat Ridge,United States,Colorado,Jefferson County
Arbor Lakes,"11658 Fountains Dr, Maple Grove, MN 55369, USA",45.0939566,-93.426513,11658,Fountains Drive,55369,Maple Grove,United States,Minnesota,Hennepin County
Minneapolis Lakes,"3200B W Lake St, Minneapolis, MN 55416, USA",44.9488607,-93.3198091,3200B,West Lake Street,55416,Minneapolis,United States,Minnesota,Hennepin County
Minnetonka West,"17760 MN-7, Minnetonka, MN 55345, USA",44.914742,-93.5054088,17760,Minnesota 7,55345,Minnetonka,United States,Minnesota,Hennepin County
Plymouth,"4000 Annapolis Ln N Suite 105, Plymouth, MN 55447, USA",45.0286321,-93.4553179,4000,Annapolis Lane North,55447,Plymouth,United States,Minnesota,Hennepin County
Eden Prairie,"574 Prairie Center Dr Suite 155, Eden Prairie, MN 55344, USA",44.8523756,-93.4305946,574,Prairie Center Drive,55344,Eden Prairie,United States,Minnesota,Hennepin County
Edina,"3940 W 50th St Suite 110, Edina, MN 55424, USA",44.9128585,-93.330943,3940,West 50th Street,55424,Edina,United States,Minnesota,Hennepin County
Lakeville,"16106 Pilot Knob Rd #130, Lakeville, MN 55044, USA",44.7156693,-93.1761518,16106,Pilot Knob Road,55044,Lakeville,United States,Minnesota,Dakota County
Savage,"14010 State Hwy 13, Savage, MN 55378, USA",44.749212,-93.3804267,14010,State Highway 13,55378,Savage,United States,Minnesota,Scott County
Aliante,"6905 N Aliante Pkwy Suite 104, North Las Vegas, NV 89084, USA",36.2858831,-115.1784945,6905,North Aliante Parkway,89084,North Las Vegas,United States,Nevada,Clark County
Centennial Hills,"9670 W Skye Canyon Park Dr Suite 120, Las Vegas, NV 89166, USA",36.3146244,-115.3074244,9670,West Skye Canyon Park Drive,89166,Las Vegas,United States,Nevada,Clark County
Green Valley,"1550 N Green Valley Pkwy Ste 350, Henderson, NV 89074, USA",36.0297894,-115.0855765,1550,North Green Valley Parkway,89074,Henderson,United States,Nevada,Clark County
Henderson,"10525 S Eastern Ave #140, Henderson, NV 89052, USA",35.9992014,-115.1074658,10525,South Eastern Avenue,89052,Henderson,United States,Nevada,Clark County
Mountains Edge,"8015 Blue Diamond Rd #155, Las Vegas, NV 89178, USA",36.01914,-115.2660052,8015,Blue Diamond Road,89178,Las Vegas,United States,Nevada,Clark County
Spring Valley,"5060 S Fort Apache Rd Ste 115, Las Vegas, NV 89148, USA",36.096865,-115.2964482,5060,South Fort Apache Road,89148,Las Vegas,United States,Nevada,Clark County
Summerlin,"7460 W Lake Mead Blvd E1, Las Vegas, NV 89128, USA",36.1971957,-115.2568596,7460,West Lake Mead Boulevard,89128,Las Vegas,United States,Nevada,Clark County
