studio_name,district
Oro Valley,AZ
Tucson Foothills,AZ
Clayton,CA [N-EB]
Danville,CA [N-EB]
East Dublin,CA [N-EB]
Pleasanton,CA [N-EB]
San Leandro,CA [N-EB]
San Ramon,CA [N-EB]
Walnut Creek,CA [N-EB]
Fremont,CA [N-SB]
Los Gatos,CA [N-SB]
North San Jose,CA [N-SB]
Santa Clara,CA [N-SB]
Union City,CA [N-SB]
Daly City,CA [N-WB]
Palo Alto,CA [N-WB]
San Bruno,CA [N-WB]
San Mateo,CA [N-WB]
Sunnyvale,CA [N-WB]
Arroyo Grande,CA [S1-CEN]
Paso Robles,CA [S1-CEN]
San Luis Obispo,CA [S1-CEN]
Echo Park,CA [S2-LA]
Glassell Park,CA [S2-LA]
N La Cienega,CA [S2-LA]
San Pedro,CA [S2-LA]
Torrance,CA [S2-LA]
West Hollywood,CA [S2-LA]
West Torrance,CA [S2-LA]
Bixby Knolls,CA [S3-LB]
East Long Beach,CA [S3-LB]
Huntington Beach,CA [S3-LB]
Lakewood Heartwell,CA [S3-LB]
Long Beach Marina,CA [S3-LB]
Newland Center,CA [S3-LB]
Seal Beach,CA [S3-LB]
South Huntington Beach,CA [S3-LB]
Alton Square,CA [S4-NOC]
Anaheim Hills,CA [S4-NOC]
Fountain Valley,CA [S4-NOC]
Newport Beach,CA [S4-NOC]
Newport Coast,CA [S4-NOC]
Yorba Linda,CA [S4-NOC]
Aliso Viejo,CA [S5-SOC]
Dana Point,CA [S5-SOC]
Laguna Niguel,CA [S5-SOC]
Los Olivos,CA [S5-SOC]
Mission Viejo,CA [S5-SOC]
4S Ranch,CA [S6-SD]
Bankers Hill,CA [S6-SD]
Escondido,CA [S6-SD]
Granite Hills,CA [S6-SD]
Oside,CA [S6-SD]
Poway,CA [S6-SD]
Rancho Bernardo,CA [S6-SD]
Briargate,CO [COS]
Dublin,CO [COS]
Ivywild,CO [COS]
Castle Rock,CO [DEN]
Cherry Creek,CO [DEN]
Cherry Hills,CO [DEN]
Old Town,CO [DEN]
Sloans Lake,CO [DEN]
Wheat Ridge,CO [DEN]
Arbor Lakes,MN [N]
Minneapolis Lakes,MN [N]
Minnetonka West,MN [N]
Plymouth,MN [N]
Eden Prairie,MN [S]
Edina,MN [S]
Lakeville,MN [S]
Savage,MN [S]
Aliante,NV
Centennial Hills,NV
Green Valley,NV
Henderson,NV
Mountains Edge,NV
Spring Valley,NV
Summerlin,NV
Cedar Hills,OR [N]
Grant Park,OR [N]
Hillsboro,OR [N]
Slabtown,OR [N]
Tanasbourne,OR [N]
West Hills,OR [N]
Woodstock,OR [N]
Eugene,OR [S]
Happy Valley,OR [S]
Lake Oswego,OR [S]
Progress Ridge,OR [S]
Sherwood,OR [S]
West Linn,OR [S]
Wilsonville,OR [S]
Brigham Road,UT
Green Springs,UT
Pioneer Parkway,UT
Bonney Lake,WA
Crown Hill,WA
Interbay,WA
Lake Tapps,WA
Mercer Island,WA
Sammamish,WA
