,,,Naming Conventions,,,,,,Studio Categories,,,,,Studio Launch Dates,,,Studio Leadership,,,,,,Contact Information,,,,,,Geography,,,,,,,,,,,Online Footprint,,,Lease Information,,,Payroll,Franchising Information,,,,,,
Studio Name,#,Dist.,Studio Code,Studio NetSuite,Studio iKizmet,Studio CR,CR ID,PAYCOM_STUDIO_CODE,Studio Status,Maturity,Studio Size,Price Tier,Open Type,Studio Open Date,RF Soft Open Date,Grand Open Date,RM,DM,GM,GM ID,AGM,EDC,LI,Studio Email,Studio GM Email,Studio GM Riser Teams Chat,LI CP Email,LI Riser Teams Chat,Studio Phone #,Full Address,Street Address,City,County,State,Zip Code,Latitude,Longitude,District,Market,Region,Website,Instagram,Facebook,Sq. Footage,"Lease Expiry, incl. Options",Landlord,WCB_Amount,Acq. / ADA Name,ADA Effective Date,FA Effective Date,License #,Royalty %,Column1
Oro Valley,21,AZ,AZOV,AZOV AZ-oro-valley,Oro Valley,Club Pilates Oro Valley,6867,BBBB,Open,2+ Years,12,4,Acquisition,7/26/2018,8/1/2023,9/9/2018,Daniela Valenzuela,Kasandra Ryan,Chay Kurtz,A17W,Christian Olvera,Amy Young,Sarah Bjorndahl,orovalley@clubpilates.com,orovalleygm@clubpilates.com,orovalleygm@riserfit.com,orovalleyli@clubpilates.com,orovalleyli@riserfit.com,(520) 244-3300,"7972 N Oracle Rd., Oro Valley, AZ 85704",7972 N Oracle Rd.,Oro Valley,Pima County,AZ,85704,32.35,-110.97,TUC,TUC,Southwest,https://www.clubpilates.com/location/orovalley,https://www.instagram.com/clubpilatesorovalley/,https://www.facebook.com/clubpilatesorovalley,1750,Jul-33,"HJ Tucson, LLC",0,Kiser,10/6/2016,10/6/2016,1285,7.00%,
Tucson Foothills,22,AZ,AZTF,AZTF AZ-tucson-foothills,Tucson Foothills,Club Pilates Tucson Foothills,5961,AAAA,Open,2+ Years,12,4,Acquisition,8/10/2017,8/1/2023,9/24/2017,Daniela Valenzuela,Kasandra Ryan,Tracey Matsche,A04F,Cristiana Maldonado,Amy Young,Sarah Bjorndahl,tucsonfoothills@clubpilates.com,tucsonfoothillsgm@clubpilates.com,tucsonfoothillsgm@riserfit.com,orovalleyli@clubpilates.com,orovalleyli@riserfit.com,(520) 428-0130,"6872 E. Sunrise Dr., Ste. 150, Tucson, AZ 85750","6872 E. Sunrise Dr., Ste. 150",Tucson,Pima County,AZ,85750,32.31,-110.85,TUC,TUC,Southwest,https://www.clubpilates.com/location/tucsonfoothills,https://www.instagram.com/clubpilatestucsonfoothills/,https://www.facebook.com/clubpilatestucsonfoothills,1636,May-28,"EREP VENTANA II, LLC",0,Kiser,10/6/2016,10/6/2016,1284,7.00%,
Clayton,96,CA [N-EB],CACL,CACL CA-Clayton,Clayton,Club Pilates Clayton,14884,CACL,Open,< 6 Months,12,5,De Novo,11/6/2025,11/6/2025,1/10/2026,Kristin Chandler,Hillary Harvey,Gary Brown,A1JE,N/A,Annabel Castaldo,Dianna Stafford,clayton@clubpilates.com,claytongm@clubpilates.com,claytongm@riserfit.com,claytonli@clubpilates.com,claytonli@riserfit.com,(925) 276-9600,"5442 Ygnacio Valley Rd., Suite 29-C, Concord, CA 94521","5442 Ygnacio Valley Rd., Suite 29-C",Concord,Contra Costa County,CA,94521,37.95,-121.96,BAY,BAY,Southwest,https://www.clubpilates.com/location/clayton,https://www.instagram.com/clubpilates_clayton/,https://www.facebook.com/clubpilatesclayton/,1985,Oct-45,"Clayton Valley Shopping Center, LLC",5,Sep-23 Consolidated 45,5/9/2023,,3618,8.00%,
Danville,43,CA [N-EB],CADV,CADV CA-Danville,Danville,Club Pilates Danville,6876,CADV,Open,13 - 24 Months,12,5,Acquisition,5/31/2018,8/8/2024,7/15/2018,Kristin Chandler,Hillary Harvey,Romey Frazier,A1AA,N/A,Annabel Castaldo,Tricia Greensides,danville@clubpilates.com,danvillegm@clubpilates.com,danvillegm@riserfit.com,walnutcreekli@clubpilates.com,walnutcreekli@riserfit.com,(925) 854-5500,"3418 Camino Tassajara, Danville, CA 94506",3418 Camino Tassajara,Danville,Contra Costa County,CA,94506,37.8,-121.92,BAY,BAY,Southwest,https://www.clubpilates.com/location/danville,https://www.instagram.com/clubpilates_danville/,https://www.facebook.com/p/Club-Pilates-Danville,2300,Sep-38,"REG8 TASSAJARA CROSSING, LLC",5,Shiraki,,8/8/2024,1097,8.00%,
East Dublin,78,CA [N-EB],CAED,CAED CA-East Dublin,East Dublin,Club Pilates East Dublin,14406,CAED,Open,6 - 12 Months,12,5,De Novo,5/15/2025,5/15/2025,6/29/2025,Kristin Chandler,Hillary Harvey,Melisa Gardina,A1TD,N/A,Annabel Castaldo,Annabel Castaldo,eastdublin@clubpilates.com,eastdublingm@clubpilates.com,eastdublingm@riserfit.com,pleasantonli@clubpilates.com,pleasantonli@riserfit.com,(925) 307-7644,"4480 Tassajara Road, Suite A, Dublin, CA 94568","4480 Tassajara Road, Suite A",Dublin,Alameda County,CA,94568,37.71,-121.87,BAY,BAY,Southwest,https://www.clubpilates.com/location/eastdublin,https://www.instagram.com/clubpilateseastdublin/,https://www.facebook.com/cpeastdublin,1741,Mar-45,SVF Waterford Dublin Corporation,5,Shiraki,,8/8/2024,1099,8.00%,
Pleasanton,44,CA [N-EB],CAPL,CAPL CA-Pleasanton,Pleasanton,Club Pilates Pleasanton,4054,CAPL,Open,13 - 24 Months,12,5,Acquisition,10/1/2016,8/8/2024,11/15/2016,Kristin Chandler,Hillary Harvey,N/A,N/A,N/A,Annabel Castaldo,Annabel Castaldo,pleasanton@clubpilates.com,pleasantongm@clubpilates.com,pleasantongm@riserfit.com,pleasantonli@clubpilates.com,pleasantonli@riserfit.com,(925) 255-0880,"6766 Bernal Ave., Ste. 530, Pleasanton, CA 94566","6766 Bernal Ave., Ste. 530",Pleasanton,Alameda County,CA,94566,37.66,-121.9,BAY,BAY,Southwest,https://www.clubpilates.com/location/pleasanton,https://www.instagram.com/clubpilatespleasanton/,https://www.facebook.com/clubpilatespleasanton/,1775,Oct-36,"Pleasanton Retail Owner, Inc.",5,Shiraki,,8/8/2024,1096,8.00%,
San Leandro,97,CA [N-EB],CASL,CASL CA-San Leandro,San Leandro,Club Pilates San Leandro,14951,CASL,Open,< 6 Months,18,5,De Novo,11/13/2025,11/13/2025,1/17/2026,Kristin Chandler,Hillary Harvey,Shaina Singh,A0HZ,N/A,Annabel Castaldo,Esperanza Hemple,sanleandro@clubpilates.com,sanleandrogm@clubpilates.com,sanleandrogm@riserfit.com,unioncityli@clubpilates.com,unioncityli@riserfit.com,(510) 671-1511,"1353 Washington Ave., Suite D2, San Leandro, CA 94577","1353 Washington Ave., Suite D2",San Leandro,Alameda County,CA,94577,37.72,-122.16,BAY,BAY,Southwest,https://www.clubpilates.com/location/SanLeandro,https://www.instagram.com/clubpilatessanleandro/,https://www.facebook.com/clubpilatessanleandro/,2361,#N/A,#N/A,5,Sep-23 Consolidated 45,9/29/2023,,3379,8.00%,
San Ramon,102,CA [N-EB],CASR,CASR CA-San Ramon,San Ramon,Club Pilates San Ramon,14959,CASR,Open,SO to GO,12,5,De Novo,2/24/2026,2/20/2026,4/10/2026,Kristin Chandler,Hillary Harvey,Kerry Crecion,A1NS,N/A,Annabel Castaldo,Stephanie Hoeven,sanramon@clubpilates.com,sanramongm@clubpilates.com,sanramongm@riserfit.com,fremontli@clubpilates.com,fremontli@riserfit.com,(925) 361-2355,"3191 Crow Canyon Place, Suite F, San Ramon, CA 94583","3191 Crow Canyon Place, Suite F",San Ramon,Contra Costa County,CA,94583,37.78,-121.97,BAY,BAY,Southwest,https://www.clubpilates.com/location/sanramon,https://www.instagram.com/clubpilatessanramon/,https://www.facebook.com/clubpilatessanramon/,1948,#N/A,#N/A,5,Sep-23 Consolidated 45,9/29/2023,,3378,8.00%,
Walnut Creek,45,CA [N-EB],CAWC,CAWC CA-Walnut Creek,Walnut Creek,Club Pilates Walnut Creek,10961,CAWC,Open,13 - 24 Months,12,5,Acquisition,3/18/2021,8/8/2024,5/2/2021,Kristin Chandler,Hillary Harvey,Colleen Horn,A0M5,N/A,Annabel Castaldo,Tricia Greensides,walnutcreek@clubpilates.com,walnutcreekgm@clubpilates.com,walnutcreekgm@riserfit.com,walnutcreekli@clubpilates.com,walnutcreekli@riserfit.com,(925) 395-2644,"1576 Botelho Dr., Walnut Creek, CA 94596",1576 Botelho Dr.,Walnut Creek,Contra Costa County,CA,94596,37.89,-122.06,BAY,BAY,Southwest,https://www.clubpilates.com/location/walnutcreek,https://www.instagram.com/clubpilates_walnutcreek/,https://www.facebook.com/clubpilateswalnutcreek/,1787,Feb-41,"Escuela Shopping Center, LLC C/o Regency Centers Corporation",5,Shiraki,,8/8/2024,1101,8.00%,
